Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
29-12-2022,21:04,WALGREENS BOOTS ALLIAN,US9314271084,NDQ,CDED,-136,37.4300,USD,5090.48,USD,4768.63,EUR,1.0675,-1.00,EUR,4767.63,EUR,dda838ef-292d-4d35-acc2-52fbe37bca3a
21-12-2022,09:00,STOCKWIK FORVALTNING AB,SE0012257970,OMX,XSTO,566,20.9000,SEK,-11829.40,SEK,-1067.62,EUR,11.0801,,EUR,-1067.62,EUR,b314df5a-53c5-4430-a3c5-dac0837a0154
20-12-2022,16:48,STOCKWIK FORVALTNING AB,SE0012257970,OMX,XSTO,424,20.9000,SEK,-8861.60,SEK,-800.76,EUR,11.0665,,EUR,-800.76,EUR,b314df5a-53c5-4430-a3c5-dac0837a0154
20-12-2022,16:41,STOCKWIK FORVALTNING AB,SE0012257970,OMX,XSTO,68,20.9000,SEK,-1421.20,SEK,-128.54,EUR,11.0562,-4.90,EUR,-133.44,EUR,b314df5a-53c5-4430-a3c5-dac0837a0154
20-12-2022,16:36,LIVENT CORPORATION COM,US53814L1089,NSY,CDED,124,21.4100,USD,-2654.84,USD,-2493.99,EUR,1.0645,-1.00,EUR,-2494.99,EUR,3e02c12b-a6e2-4d1b-bcdf-a26e6e42e2bb
12-12-2022,15:40,FLATEXDEGIRO AG,DE000FTG1111,XET,XETA,400,6.2600,EUR,-2504.00,EUR,-2504.00,EUR,,,EUR,-2504.00,EUR,be216e6f-9153-4df8-be52-d91dc2805814
30-11-2022,15:39,3M COMPANY COMMON STOC,US88579Y1010,NSY,CDED,-40,123.0800,USD,4923.20,USD,4743.00,EUR,1.0380,-1.00,EUR,4742.00,EUR,dc23a7c2-df99-4a16-ad4d-0b5fa60f990c
21-11-2022,16:05,ALPHABET INC. - CLASS A,US02079K3059,NDQ,BATS,-144,97.7000,USD,14068.80,USD,13716.38,EUR,1.0257,-1.00,EUR,13715.38,EUR,576b7aa2-e110-4528-9016-741f7de3470b
21-11-2022,15:55,ADR ON NIO INC,US62914V1061,NSY,CDED,-84,9.9000,USD,831.60,USD,811.08,EUR,1.0253,,EUR,811.08,EUR,8bf91eba-3331-48d6-9b66-5aeeb42a6ac0
21-11-2022,15:55,ADR ON NIO INC,US62914V1061,NSY,MSPL,-300,9.9000,USD,2970.00,USD,2896.73,EUR,1.0253,-1.00,EUR,2895.73,EUR,8bf91eba-3331-48d6-9b66-5aeeb42a6ac0
