Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
09-12-2024,09:20,TECNOINVESTIMENTI,IT0005037210,MIL,MTAA,21,8.4350,EUR,-177.14,EUR,-177.14,EUR,,,EUR,-177.14,EUR,2735c6ef-a0f9-470d-b788-2867736cd2f8
09-12-2024,09:20,TECNOINVESTIMENTI,IT0005037210,MIL,MTAA,280,8.4300,EUR,-2360.40,EUR,-2360.40,EUR,,-4.90,EUR,-2365.30,EUR,2735c6ef-a0f9-470d-b788-2867736cd2f8
06-12-2024,03:00,PAX GLOBAL TECHNOLOGY LTD,BMG6955J1036,HKS,XHKG,2000,5.3500,HKD,-10700.00,HKD,-1300.92,EUR,8.2250,-6.00,EUR,-1306.92,EUR,e890443f-2037-463a-a8f0-704e901495a8
04-12-2024,16:59,GESTAMP AUTOMOCION SA,ES0105223004,MAD,MESI,420,2.3800,EUR,-999.60,EUR,-999.60,EUR,,-2.00,EUR,-1001.60,EUR,2be42952-4946-495f-81bc-1352096d8755
04-12-2024,16:48,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,60,84.6800,USD,-5080.80,USD,-4827.39,EUR,1.0525,-2.00,EUR,-4829.39,EUR,1beb2e1a-f463-4d69-9fb2-3db27bae5284
18-11-2024,15:30,TALKSPACE INC,US87427V1035,NDQ,XNAS,346,3.0500,USD,-1055.30,USD,-999.06,EUR,1.0563,-2.00,EUR,-1001.06,EUR,f1c524e2-b4ca-45cf-aec2-80e325a9f2ec
04-11-2024,09:00,AUTO PARTNER SA,PLATPRT00018,WSE,XWAR,204,21.2000,PLN,-4324.80,PLN,-992.37,EUR,4.3581,-4.90,EUR,-997.27,EUR,29d0d280-63e1-41b1-8714-717538cc41a0
25-10-2024,17:24,ADR ON QIFU TECHNOLOGY INC,US88557W1018,NDQ,XNAS,-274,35.0000,USD,9590.00,USD,8860.81,EUR,1.0823,-2.00,EUR,8858.81,EUR,6db99fa3-8b2e-48f8-9570-25ccee75f96c
25-10-2024,04:47,PLOVER BAY TECHNOLOGIES LTD,KYG713321035,HKS,XHKG,-7000,5.5000,HKD,38500.00,HKD,4576.50,EUR,8.4126,,EUR,4576.50,EUR,edc925af-5a54-4251-806d-e0ad40b49600
25-10-2024,04:46,PLOVER BAY TECHNOLOGIES LTD,KYG713321035,HKS,XHKG,-1000,5.5000,HKD,5500.00,HKD,653.79,EUR,8.4126,-6.00,EUR,647.79,EUR,edc925af-5a54-4251-806d-e0ad40b49600
15-10-2024,09:16,KUAISHOU TECHNOLOGY,KYG532631028,HKS,XHKG,500,47.0000,HKD,-23500.00,HKD,-2779.08,EUR,8.4560,-6.00,EUR,-2785.08,EUR,26756aa8-853e-4f9c-802e-a20ad43a1396
08-10-2024,01:08,SRG GLOBAL LIMITED,AU0000032914,ASX,ASXT,-1596,1.1050,AUD,1763.58,AUD,1085.09,EUR,1.6253,,EUR,1085.09,EUR,bdcd0fed-a10e-4676-a80c-39fefca3d899
08-10-2024,01:08,SRG GLOBAL LIMITED,AU0000032914,ASX,ASXT,-2771,1.1050,AUD,3061.96,AUD,1883.94,EUR,1.6253,-6.00,EUR,1877.94,EUR,bdcd0fed-a10e-4676-a80c-39fefca3d899
07-10-2024,17:02,SHIFT4 PAYMENTS INC. CLASS A COMMON STOCK,US82452J1097,NSY,CDED,-2,91.0300,USD,182.06,USD,165.89,EUR,1.0975,,EUR,165.89,EUR,bcefa981-dd50-42b5-b14b-ac5240abe1ca
07-10-2024,17:02,SHIFT4 PAYMENTS INC. CLASS A COMMON STOCK,US82452J1097,NSY,CDED,-1,91.0200,USD,91.02,USD,82.93,EUR,1.0975,,EUR,82.93,EUR,bcefa981-dd50-42b5-b14b-ac5240abe1ca
07-10-2024,17:02,SHIFT4 PAYMENTS INC. CLASS A COMMON STOCK,US82452J1097,NSY,CDED,-33,91.0300,USD,3003.99,USD,2737.14,EUR,1.0975,-2.00,EUR,2735.14,EUR,bcefa981-dd50-42b5-b14b-ac5240abe1ca
07-10-2024,03:35,TEN PAO GROUP HOLDINGS LTD,KYG876031090,HKS,XHKG,16000,1.6000,HKD,-25600.00,HKD,-3002.67,EUR,8.5257,,EUR,-3002.67,EUR,965a81de-35f8-4793-8d82-f826c6c2f46a
07-10-2024,03:35,TEN PAO GROUP HOLDINGS LTD,KYG876031090,HKS,XHKG,4000,1.6000,HKD,-6400.00,HKD,-750.67,EUR,8.5257,-6.00,EUR,-756.67,EUR,965a81de-35f8-4793-8d82-f826c6c2f46a
20-09-2024,20:39,ADR ON KASPI BANK,US48581R2058,NDQ,XNAS,10,98.0000,USD,-980.00,USD,-878.06,EUR,1.1161,-2.00,EUR,-880.06,EUR,0828ab75-afb6-472b-b436-375502df8b9f
16-08-2024,17:33,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,-99,84.0000,USD,8316.00,USD,7564.17,EUR,1.0994,-2.00,EUR,7562.17,EUR,3bc805b9-4b3a-4196-a57d-2f9416740e46
09-08-2024,16:51,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,XNAS,-90,65.3100,USD,5877.90,USD,5381.25,EUR,1.0923,-2.00,EUR,5379.25,EUR,8a8fb023-c4cb-4aea-a3c5-80d3e08d203b
02-08-2024,11:16,SHELLY GROUP PLC     EO 1,BG1100003166,FRA,FRAA,-160,37.0000,EUR,5920.00,EUR,5920.00,EUR,,-6.00,EUR,5914.00,EUR,49c191e6-79b9-4c31-8e9d-f73c63fe96a9
17-07-2024,10:36,SPDR RUSSELL 2000 US SMALL CAP UCITS ETF,IE00BJ38QD84,XET,XETA,25,59.3900,EUR,-1484.75,EUR,-1484.75,EUR,,-1.00,EUR,-1485.75,EUR,e4b37a9e-248d-4820-a6d4-226bf8e2e6f8
16-07-2024,02:24,DUG TECHNOLOGY LTD,AU0000095721,ASX,ASXT,-824,2.7600,AUD,2274.24,AUD,1410.65,EUR,1.6122,-6.00,EUR,1404.65,EUR,7d49a7bd-a691-4a22-be13-cd69819097b4
12-07-2024,09:04,SPDR RUSSELL 2000 US SMALL CAP UCITS ETF,IE00BJ38QD84,XET,XETA,60,56.4700,EUR,-3388.20,EUR,-3388.20,EUR,,-1.00,EUR,-3389.20,EUR,7c5460e1-b6ae-4db2-8d6a-bf0a945d1282
10-07-2024,15:37,EXPEDIA INC. - COMMON,US30212P3038,NDQ,XNAS,-30,130.0000,USD,3900.00,USD,3603.13,EUR,1.0824,-2.00,EUR,3601.13,EUR,8d93ffc6-9d28-48e1-a507-1f559d1bdf95
02-07-2024,03:20,PAX GLOBAL TECHNOLOGY LTD,BMG6955J1036,HKS,XHKG,1000,5.0000,HKD,-5000.00,HKD,-596.29,EUR,8.3851,-6.00,EUR,-602.29,EUR,7bf1ec78-202d-4dac-8172-e2550ce60851
28-06-2024,11:17,GESTAMP AUTOMOCION SA,ES0105223004,MAD,MESI,90,2.7700,EUR,-249.30,EUR,-249.30,EUR,,,EUR,-249.30,EUR,37c7ce8b-4565-4fd2-b939-58a1456dceab
28-06-2024,11:17,GESTAMP AUTOMOCION SA,ES0105223004,MAD,XMAD,90,2.7700,EUR,-249.30,EUR,-249.30,EUR,,-2.00,EUR,-251.30,EUR,37c7ce8b-4565-4fd2-b939-58a1456dceab
04-06-2024,05:32,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,1000,1.5700,HKD,-1570.00,HKD,-184.08,EUR,8.5290,,EUR,-184.08,EUR,9510679b-6ce5-4c59-8f73-612c37fc659c
04-06-2024,05:30,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,1000,1.5700,HKD,-1570.00,HKD,-184.08,EUR,8.5290,,EUR,-184.08,EUR,9510679b-6ce5-4c59-8f73-612c37fc659c
04-06-2024,05:28,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,1000,1.5700,HKD,-1570.00,HKD,-184.08,EUR,8.5289,,EUR,-184.08,EUR,9510679b-6ce5-4c59-8f73-612c37fc659c
04-06-2024,05:27,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,1000,1.5700,HKD,-1570.00,HKD,-184.08,EUR,8.5289,,EUR,-184.08,EUR,9510679b-6ce5-4c59-8f73-612c37fc659c
04-06-2024,04:43,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,1000,1.5700,HKD,-1570.00,HKD,-184.13,EUR,8.5266,-6.00,EUR,-190.13,EUR,9510679b-6ce5-4c59-8f73-612c37fc659c
17-05-2024,03:30,ANXIAN YUAN CHINA HOLDINGS LTD,BMG0400Q1197,HKS,XHKG,110000,0.1900,HKD,-20900.00,HKD,-2466.79,EUR,8.4726,,EUR,-2466.79,EUR,451df5bd-b49f-4108-bea5-5ebc43374d03
17-05-2024,03:20,ANXIAN YUAN CHINA HOLDINGS LTD,BMG0400Q1197,HKS,XHKG,10000,0.1900,HKD,-1900.00,HKD,-224.25,EUR,8.4726,-6.00,EUR,-230.25,EUR,451df5bd-b49f-4108-bea5-5ebc43374d03
10-05-2024,12:04,PROSEGUR,ES0175438003,MAD,MESI,299,1.6740,EUR,-500.53,EUR,-500.53,EUR,,,EUR,-500.53,EUR,798d6435-2696-4313-b42e-e89ce1d933be
10-05-2024,12:04,PROSEGUR,ES0175438003,MAD,XMAD,299,1.6740,EUR,-500.53,EUR,-500.53,EUR,,-2.00,EUR,-502.53,EUR,798d6435-2696-4313-b42e-e89ce1d933be
09-05-2024,10:14,DINO POLSKA SA,PLDINPL00011,WSE,XWAR,-30,399.4000,PLN,11982.00,PLN,2787.95,EUR,4.2978,-4.90,EUR,2783.05,EUR,5beff240-9e36-4c68-9f79-368dfd615f71
25-04-2024,16:57,SHIFT4 PAYMENTS INC. CLASS A COMMON STOCK,US82452J1097,NSY,XNAS,36,59.0300,USD,-2125.08,USD,-1984.03,EUR,1.0711,-2.00,EUR,-1986.03,EUR,1ab4c37b-35ee-47e1-92da-74cd560fa9c3
05-04-2024,07:00,POWERLONG COMMERCIAL MANAGEMENT HOLDINGS LTD,KYG7204G1064,HKS,XHKG,-3000,2.4400,HKD,7320.00,HKD,863.68,EUR,8.4754,-6.00,EUR,857.68,EUR,99ee15b0-5d4e-4dd8-8c1e-09985ffcf2ae
05-04-2024,07:00,POWERLONG COMMERCIAL MANAGEMENT HOLDINGS LTD,KYG7204G1064,HKS,XHKG,-3000,2.4400,HKD,7320.00,HKD,863.68,EUR,8.4754,-6.00,EUR,857.68,EUR,e3d1a2ff-cb87-492b-8ae5-c6746adc0650
04-04-2024,14:12,PROSEGUR,ES0175438003,MAD,MESI,159,1.5700,EUR,-249.63,EUR,-249.63,EUR,,,EUR,-249.63,EUR,1edb6c6c-0b83-42ba-9a5f-ec53358be721
