Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
09-04-2025,09:01,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,-12000,1.5600,HKD,18720.00,HKD,2178.71,EUR,8.5922,,EUR,2178.71,EUR,a594821d-2b18-46ee-97f3-af4592b76ada
09-04-2025,08:23,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,-500,1.6500,HKD,825.00,HKD,96.17,EUR,8.5789,-6.00,EUR,90.17,EUR,a594821d-2b18-46ee-97f3-af4592b76ada
08-04-2025,15:30,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,18,151.5500,USD,-2727.90,USD,-2490.57,EUR,1.0953,-2.00,EUR,-2492.57,EUR,d58de778-2258-4d9e-9f78-c01b4e88fab0
03-04-2025,21:45,GLOBAL SHIP LEASE INC-CL A,MHY271836006,NSY,XNYS,129,21.0000,USD,-2709.00,USD,-2459.17,EUR,1.1016,-2.00,EUR,-2461.17,EUR,bdee0e8b-55f3-4b0a-a756-563331e3f8b1
31-03-2025,03:30,TEN PAO GROUP HOLDINGS LTD,KYG876031090,HKS,XHKG,4000,1.7800,HKD,-7120.00,HKD,-844.11,EUR,8.4350,-6.00,EUR,-850.11,EUR,e8c9f369-a892-4cc8-8149-d1aa87f295cf
28-03-2025,02:35,EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LTD,KYG3235S1021,HKS,XHKG,9000,1.4100,HKD,-12690.00,HKD,-1511.51,EUR,8.3956,-6.00,EUR,-1517.51,EUR,620817e5-2ab7-4ae6-80c1-5255b3a4d688
27-03-2025,16:33,GLOBAL PAYMENTS INC. C,US37940X1028,NSY,XNYS,-28,99.4100,USD,2783.48,USD,2575.40,EUR,1.0808,-2.00,EUR,2573.40,EUR,59c02fc2-33ff-4bbe-be22-6ef7f7bb40f8
24-03-2025,15:35,NAGARRO SE,DE000A3H2200,XET,XETA,-67,77.4500,EUR,5189.15,EUR,5189.15,EUR,,-4.90,EUR,5184.25,EUR,0b0f47f9-39a9-452a-a341-5da6f279ccfa
21-03-2025,11:02,NAGARRO SE,DE000A3H2200,XET,XETA,67,74.2500,EUR,-4974.75,EUR,-4974.75,EUR,,-4.90,EUR,-4979.65,EUR,c39496f8-5ade-4aaf-bdf9-6cf07e6a3e0f
17-03-2025,17:47,GLOBAL PAYMENTS INC. C,US37940X1028,NSY,BATS,28,94.8000,USD,-2654.40,USD,-2430.34,EUR,1.0922,-2.00,EUR,-2432.34,EUR,ebfa9946-367f-42bb-b945-7153ca206fb4
