Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
23-10-2019,16:04,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,53,89.9200,USD,-4765.76,USD,-4284.61,EUR,1.1123,-0.69,EUR,-4285.30,EUR,ddf4586d-0bc0-4ba1-bd26-8820b9c9075d
23-10-2019,15:35,EXACT SCIENCES CORPORA,US30063P1057,NDQ,ARCX,-8,88.1500,USD,705.20,USD,634.11,EUR,1.1121,-0.03,EUR,634.08,EUR,2e2947da-6e0d-4141-a5b1-69561973bd21
23-10-2019,15:35,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XCIS,-11,88.0800,USD,968.88,USD,871.22,EUR,1.1121,-0.04,EUR,871.18,EUR,2e2947da-6e0d-4141-a5b1-69561973bd21
23-10-2019,15:35,EXACT SCIENCES CORPORA,US30063P1057,NDQ,ARCX,-4,88.1500,USD,352.60,USD,317.06,EUR,1.1121,-0.01,EUR,317.05,EUR,2e2947da-6e0d-4141-a5b1-69561973bd21
23-10-2019,15:35,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-30,88.1500,USD,2644.50,USD,2377.94,EUR,1.1121,-0.61,EUR,2377.33,EUR,2e2947da-6e0d-4141-a5b1-69561973bd21
22-10-2019,16:06,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,53,92.5000,USD,-4902.50,USD,-4402.79,EUR,1.1135,-0.69,EUR,-4403.48,EUR,a3acf2c9-ba03-4a2e-ac2d-b8cc6df23bfc
21-10-2019,19:53,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-5,94.1000,USD,470.50,USD,421.97,EUR,1.1150,-0.02,EUR,421.95,EUR,106ef80d-517a-4b26-83b0-006dca66a0d0
21-10-2019,19:53,EXACT SCIENCES CORPORA,US30063P1057,NDQ,EDGA,-46,94.0800,USD,4327.68,USD,3881.33,EUR,1.1150,-0.17,EUR,3881.16,EUR,106ef80d-517a-4b26-83b0-006dca66a0d0
21-10-2019,19:53,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-1,94.1100,USD,94.11,USD,84.40,EUR,1.1150,,EUR,84.40,EUR,106ef80d-517a-4b26-83b0-006dca66a0d0
21-10-2019,19:53,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-1,94.1200,USD,94.12,USD,84.41,EUR,1.1150,-0.50,EUR,83.91,EUR,106ef80d-517a-4b26-83b0-006dca66a0d0
