Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
28-12-2021,16:36,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,SOHO,-200,115.3001,USD,23060.02,USD,20421.68,EUR,1.1292,-0.50,EUR,20421.18,EUR,f94831cc-405c-460a-a2d2-c44275a987a9
28-12-2021,15:46,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNAS,100,115.3000,USD,-11530.00,USD,-10199.09,EUR,1.1305,,EUR,-10199.09,EUR,d05acc3f-8ba8-4772-a20b-1508b90ae8b9
28-12-2021,15:46,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,MEMX,100,115.3000,USD,-11530.00,USD,-10199.09,EUR,1.1305,-0.50,EUR,-10199.59,EUR,d05acc3f-8ba8-4772-a20b-1508b90ae8b9
21-12-2021,20:29,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,-100,122.4000,USD,12240.00,USD,10853.06,EUR,1.1278,,EUR,10853.06,EUR,63858452-4368-4bb4-80f9-95c49f09e5fc
21-12-2021,20:29,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNAS,-100,122.4000,USD,12240.00,USD,10853.06,EUR,1.1278,-0.50,EUR,10852.56,EUR,63858452-4368-4bb4-80f9-95c49f09e5fc
17-12-2021,17:31,MICRON TECHNOLOGY INC,US5951121038,NDQ,XNYS,49,82.5100,USD,-4042.99,USD,-3584.85,EUR,1.1278,,EUR,-3584.85,EUR,0fcdfaff-e9d0-4c14-8d7a-17d3a2bf62c5
17-12-2021,17:31,MICRON TECHNOLOGY INC,US5951121038,NDQ,XNYS,51,82.5100,USD,-4208.01,USD,-3731.17,EUR,1.1278,,EUR,-3731.17,EUR,0fcdfaff-e9d0-4c14-8d7a-17d3a2bf62c5
17-12-2021,17:31,MICRON TECHNOLOGY INC,US5951121038,NDQ,XNYS,100,82.5100,USD,-8251.00,USD,-7316.02,EUR,1.1278,,EUR,-7316.02,EUR,0fcdfaff-e9d0-4c14-8d7a-17d3a2bf62c5
17-12-2021,17:31,MICRON TECHNOLOGY INC,US5951121038,NDQ,XNYS,100,82.5100,USD,-8251.00,USD,-7316.02,EUR,1.1278,,EUR,-7316.02,EUR,0fcdfaff-e9d0-4c14-8d7a-17d3a2bf62c5
17-12-2021,08:27,ALIBABA GROUP HOLDING LTD,KYG017191142,HKS,XHKG,100,116.3000,HKD,-11630.00,HKD,-1316.16,EUR,8.8363,-0.79,EUR,-1316.95,EUR,3c8a569e-9786-4313-af9a-2e6ca638094c
17-12-2021,08:27,ALIBABA GROUP HOLDING LTD,KYG017191142,HKS,XHKG,600,116.3000,HKD,-69780.00,HKD,-7896.97,EUR,8.8363,-4.74,EUR,-7901.71,EUR,3c8a569e-9786-4313-af9a-2e6ca638094c
17-12-2021,08:27,ALIBABA GROUP HOLDING LTD,KYG017191142,HKS,XHKG,100,116.3000,HKD,-11630.00,HKD,-1316.16,EUR,8.8363,-0.79,EUR,-1316.95,EUR,3c8a569e-9786-4313-af9a-2e6ca638094c
17-12-2021,08:27,ALIBABA GROUP HOLDING LTD,KYG017191142,HKS,XHKG,900,116.3000,HKD,-104670.00,HKD,-11845.46,EUR,8.8363,-17.11,EUR,-11862.57,EUR,3c8a569e-9786-4313-af9a-2e6ca638094c
14-12-2021,07:06,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,1000,11.8600,HKD,-11860.00,HKD,-1347.71,EUR,8.8001,-0.81,EUR,-1348.52,EUR,b7e2ee09-5cd0-440c-b250-9bc0aca62499
14-12-2021,07:06,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,1500,11.8600,HKD,-17790.00,HKD,-2021.57,EUR,8.8001,-11.21,EUR,-2032.78,EUR,b7e2ee09-5cd0-440c-b250-9bc0aca62499
06-12-2021,19:35,CIGNA CORPORATION COMM,US1255231003,NSY,CDED,-60,207.9700,USD,12478.20,USD,11065.19,EUR,1.1277,,EUR,11065.19,EUR,a8cd9c95-9682-4500-b4ab-bd6d2fd6fdbb
06-12-2021,19:35,CIGNA CORPORATION COMM,US1255231003,NSY,MSPL,-100,207.9900,USD,20799.00,USD,18443.75,EUR,1.1277,,EUR,18443.75,EUR,a8cd9c95-9682-4500-b4ab-bd6d2fd6fdbb
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-56,34.0000,USD,1904.00,USD,1687.05,EUR,1.1286,,EUR,1687.05,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-100,34.0000,USD,3400.00,USD,3012.58,EUR,1.1286,,EUR,3012.58,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-100,34.0000,USD,3400.00,USD,3012.58,EUR,1.1286,,EUR,3012.58,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-44,34.0000,USD,1496.00,USD,1325.54,EUR,1.1286,,EUR,1325.54,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-28,34.0000,USD,952.00,USD,843.52,EUR,1.1286,,EUR,843.52,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-44,34.0000,USD,1496.00,USD,1325.54,EUR,1.1286,,EUR,1325.54,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
06-12-2021,16:07,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,XNAS,-28,34.0000,USD,952.00,USD,843.52,EUR,1.1286,,EUR,843.52,EUR,7c46afcf-488e-43bd-9e28-1f9b4318e916
30-11-2021,19:16,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,-1400,1.3800,CAD,1932.00,CAD,1331.59,EUR,1.4509,,EUR,1331.59,EUR,3c5d2851-57b6-4902-9ab3-567003e4c736
30-11-2021,19:16,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,-3000,1.3800,CAD,4140.00,CAD,2853.40,EUR,1.4509,,EUR,2853.40,EUR,3c5d2851-57b6-4902-9ab3-567003e4c736
30-11-2021,19:16,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,-300,1.3800,CAD,414.00,CAD,285.32,EUR,1.4510,,EUR,285.32,EUR,3c5d2851-57b6-4902-9ab3-567003e4c736
30-11-2021,19:16,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,-1000,1.3800,CAD,1380.00,CAD,950.94,EUR,1.4512,,EUR,950.94,EUR,3c5d2851-57b6-4902-9ab3-567003e4c736
30-11-2021,19:16,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,-300,1.3900,CAD,417.00,CAD,287.35,EUR,1.4512,,EUR,287.35,EUR,3c5d2851-57b6-4902-9ab3-567003e4c736
29-11-2021,16:44,BERRY PLASTICS GROUP,US08579W1036,NSY,CDED,-231,69.9500,USD,16158.45,USD,14343.95,EUR,1.1265,,EUR,14343.95,EUR,0d660b8e-5b31-4e35-92b7-a87ba1dd4560
29-11-2021,16:44,BERRY PLASTICS GROUP,US08579W1036,NSY,CDED,-100,69.9800,USD,6998.00,USD,6212.17,EUR,1.1265,,EUR,6212.17,EUR,0d660b8e-5b31-4e35-92b7-a87ba1dd4560
29-11-2021,16:44,BERRY PLASTICS GROUP,US08579W1036,NSY,CDED,-8,69.9800,USD,559.84,USD,496.97,EUR,1.1265,,EUR,496.97,EUR,0d660b8e-5b31-4e35-92b7-a87ba1dd4560
26-11-2021,15:51,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,80,202.0000,USD,-16160.00,USD,-14314.83,EUR,1.1289,,EUR,-14314.83,EUR,c8d068d1-5cb1-41a5-9d06-7a6b121adf23
26-11-2021,15:45,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,51,203.0000,USD,-10353.00,USD,-9166.82,EUR,1.1294,,EUR,-9166.82,EUR,2678444c-28f6-4238-b11a-861232902913
26-11-2021,15:45,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,40,203.0000,USD,-8120.00,USD,-7189.67,EUR,1.1294,,EUR,-7189.67,EUR,2678444c-28f6-4238-b11a-861232902913
22-11-2021,16:04,CIGNA CORPORATION COMM,US1255231003,NSY,CDED,-91,212.0000,USD,19292.00,USD,17146.94,EUR,1.1251,,EUR,17146.94,EUR,4037fe10-ab02-4d14-abc3-9b1deb0b5ed4
19-11-2021,17:50,CIGNA CORPORATION COMM,US1255231003,NSY,XNYS,91,210.0000,USD,-19110.00,USD,-16887.61,EUR,1.1316,-0.82,EUR,-16888.43,EUR,ac6b2e4f-f3d5-4ad5-88aa-5d620427366c
10-11-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-96,149.9900,USD,14399.04,USD,12452.70,EUR,1.1563,-0.83,EUR,12451.87,EUR,2a334e81-53e9-40d1-87a9-7c1a02c6ed45
08-11-2021,10:22,VARTA AG,DE000A0TGJ55,XET,XETA,-42,110.9500,EUR,4659.90,EUR,4659.90,EUR,,-2.33,EUR,4657.57,EUR,9899a54a-4d92-47ee-b7b1-3347840abd2e
08-11-2021,10:22,VARTA AG,DE000A0TGJ55,XET,XETA,-58,111.0000,EUR,6438.00,EUR,6438.00,EUR,,-7.22,EUR,6430.78,EUR,9899a54a-4d92-47ee-b7b1-3347840abd2e
08-11-2021,10:18,VARTA AG,DE000A0TGJ55,XET,XETA,-200,111.0000,EUR,22200.00,EUR,22200.00,EUR,,-15.10,EUR,22184.90,EUR,0edb37fc-b5d6-45da-baaf-61e121ad19ca
05-11-2021,14:49,CIGNA CORPORATION COMM,US1255231003,NSY,SOHO,-91,220.8300,USD,20095.53,USD,17436.49,EUR,1.1525,-0.82,EUR,17435.67,EUR,87302857-ca85-4c65-b2cc-3b4fec8576bd
05-11-2021,13:15,VARTA AG,DE000A0TGJ55,XET,XETA,200,109.0000,EUR,-21800.00,EUR,-21800.00,EUR,,-14.90,EUR,-21814.90,EUR,b1d34d7b-7fb1-436e-8618-2d9f5b4dfd1c
05-11-2021,12:41,AIR LIQUIDE,FR0000120073,EPA,XPAR,-80,150.0000,EUR,12000.00,EUR,12000.00,EUR,,-6.00,EUR,11994.00,EUR,f787744b-e7d8-4690-99c0-ebd4106683d1
05-11-2021,12:41,AIR LIQUIDE,FR0000120073,EPA,XPAR,-40,150.0000,EUR,6000.00,EUR,6000.00,EUR,,-7.00,EUR,5993.00,EUR,f787744b-e7d8-4690-99c0-ebd4106683d1
04-11-2021,19:43,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,36,211.0100,USD,-7596.36,USD,-6574.66,EUR,1.1554,-0.12,EUR,-6574.78,EUR,70938193-ef7f-4003-8ee6-4e3b4e4eabbc
04-11-2021,19:43,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,10,211.0100,USD,-2110.10,USD,-1826.45,EUR,1.1553,-0.03,EUR,-1826.48,EUR,70938193-ef7f-4003-8ee6-4e3b4e4eabbc
04-11-2021,19:43,CIGNA CORPORATION COMM,US1255231003,NSY,XNAS,45,211.0100,USD,-9495.45,USD,-8219.04,EUR,1.1553,-0.66,EUR,-8219.70,EUR,70938193-ef7f-4003-8ee6-4e3b4e4eabbc
03-11-2021,18:47,CIGNA CORPORATION COMM,US1255231003,NSY,CDED,-91,215.0100,USD,19565.91,USD,16894.85,EUR,1.1581,-0.81,EUR,16894.04,EUR,c0af7383-35ab-42d8-ae64-720baad45e1f
29-09-2021,15:43,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,ARCX,200,43.0000,USD,-8600.00,USD,-7391.50,EUR,1.1635,-0.69,EUR,-7392.19,EUR,8e8c7743-c77c-4589-8554-954857156081
29-09-2021,15:43,EXP WORLD HOLDINGS IN,US30212W1009,NDQ,ARCX,200,43.0000,USD,-8600.00,USD,-7392.13,EUR,1.1634,-1.19,EUR,-7393.32,EUR,8e8c7743-c77c-4589-8554-954857156081
28-09-2021,15:47,MOODY'S CORPORATION CO,US6153691059,NSY,MSPL,-100,361.2000,USD,36120.00,USD,30940.58,EUR,1.1674,-0.84,EUR,30939.74,EUR,fc367ee4-b9e5-4b63-8883-c53bd5782fc1
27-09-2021,17:31,MOODY'S CORPORATION CO,US6153691059,NSY,XNAS,100,367.7900,USD,-36779.00,USD,-31435.07,EUR,1.1700,-0.84,EUR,-31435.91,EUR,4ca616ea-23f9-4852-8818-5accba96bfb7
24-09-2021,21:34,ADR ON BIONTECH SE,US09075V1026,NDQ,SOHO,-35,335.7500,USD,11751.25,USD,10029.24,EUR,1.1717,-0.62,EUR,10028.62,EUR,b0d7c5e2-97a4-4a3c-9bcd-829ea55c42dc
23-09-2021,16:15,VIR BIOTECHNOLOGY INC. - COMMON STOCK,US92764N1028,NDQ,SOHO,-20,44.2010,USD,884.02,USD,752.55,EUR,1.1747,-0.07,EUR,752.48,EUR,2f3678d3-0cbd-4338-8b0d-6caf00babd95
23-09-2021,16:15,VIR BIOTECHNOLOGY INC. - COMMON STOCK,US92764N1028,NDQ,SOHO,-100,44.2100,USD,4421.00,USD,3763.52,EUR,1.1747,-0.84,EUR,3762.68,EUR,2f3678d3-0cbd-4338-8b0d-6caf00babd95
23-09-2021,15:44,CIGNA CORPORATION COMM,US1255231003,NSY,XNYS,78,202.0000,USD,-15756.00,USD,-13426.51,EUR,1.1735,-0.27,EUR,-13426.78,EUR,7022a275-7bf6-4c12-9691-604c09c419b4
23-09-2021,15:44,CIGNA CORPORATION COMM,US1255231003,NSY,XNYS,22,202.0000,USD,-4444.00,USD,-3786.97,EUR,1.1735,-0.08,EUR,-3787.05,EUR,7022a275-7bf6-4c12-9691-604c09c419b4
23-09-2021,15:44,CIGNA CORPORATION COMM,US1255231003,NSY,XNYS,78,202.0000,USD,-15756.00,USD,-13426.51,EUR,1.1735,-0.27,EUR,-13426.78,EUR,7022a275-7bf6-4c12-9691-604c09c419b4
23-09-2021,15:44,CIGNA CORPORATION COMM,US1255231003,NSY,XNYS,22,202.0000,USD,-4444.00,USD,-3786.97,EUR,1.1735,-0.58,EUR,-3787.55,EUR,7022a275-7bf6-4c12-9691-604c09c419b4
16-09-2021,15:51,CUREVAC NV,NL0015436031,NDQ,SOHO,-85,55.2800,USD,4698.80,USD,3997.96,EUR,1.1753,-0.79,EUR,3997.17,EUR,c23397d8-8650-4c8f-ac83-0cfdd6e90e3d
15-09-2021,03:20,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,1000,22.2500,HKD,-22250.00,HKD,-2422.06,EUR,9.1864,-1.45,EUR,-2423.51,EUR,15e07610-0d1f-4a9b-bf53-f3c86551ccac
15-09-2021,03:20,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,2000,22.2500,HKD,-44500.00,HKD,-4844.12,EUR,9.1864,-2.91,EUR,-4847.03,EUR,fa082183-e3c9-4f8e-a4cc-d0726347bd27
15-09-2021,03:20,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,1000,22.2500,HKD,-22250.00,HKD,-2422.06,EUR,9.1864,-1.45,EUR,-2423.51,EUR,fa082183-e3c9-4f8e-a4cc-d0726347bd27
15-09-2021,03:20,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,2750,22.2500,HKD,-61187.50,HKD,-6660.66,EUR,9.1864,-14.00,EUR,-6674.66,EUR,15e07610-0d1f-4a9b-bf53-f3c86551ccac
15-09-2021,03:20,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,750,22.2500,HKD,-16687.50,HKD,-1816.52,EUR,9.1865,-11.09,EUR,-1827.61,EUR,fa082183-e3c9-4f8e-a4cc-d0726347bd27
13-09-2021,16:26,DYE & DURHAM LTD,CA2674881040,TOR,XCX2,100,45.9500,CAD,-4595.00,CAD,-3075.43,EUR,1.4941,-0.67,EUR,-3076.10,EUR,a52596d8-a423-47fc-91a5-49b5df90c0dd
13-09-2021,16:26,DYE & DURHAM LTD,CA2674881040,TOR,XTSE,100,45.9500,CAD,-4595.00,CAD,-3075.43,EUR,1.4941,-2.67,EUR,-3078.10,EUR,a52596d8-a423-47fc-91a5-49b5df90c0dd
13-09-2021,16:15,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,600,1.2700,CAD,-762.00,CAD,-509.90,EUR,1.4944,-4.02,EUR,-513.92,EUR,49c03d14-c777-45f1-a21a-42b8c6c0f7ed
13-09-2021,16:15,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,100,1.2700,CAD,-127.00,CAD,-84.99,EUR,1.4943,-0.67,EUR,-85.66,EUR,49c03d14-c777-45f1-a21a-42b8c6c0f7ed
13-09-2021,16:15,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,CHIC,800,1.2700,CAD,-1016.00,CAD,-679.92,EUR,1.4943,-5.36,EUR,-685.28,EUR,49c03d14-c777-45f1-a21a-42b8c6c0f7ed
13-09-2021,16:15,WISHPOND TECHNOLOGIES LTD,CA97730P2061,TSV,XTSX,4500,1.2700,CAD,-5715.00,CAD,-3824.54,EUR,1.4943,-32.14,EUR,-3856.68,EUR,49c03d14-c777-45f1-a21a-42b8c6c0f7ed
13-09-2021,07:58,KAISA PROSPERITY HOLDINGS LT,KYG522441032,HKS,XHKG,-750,22.8500,HKD,17137.50,HKD,1868.09,EUR,9.1738,-1.12,EUR,1866.97,EUR,a6c1edad-ebb7-4ec6-9163-fba4fccbcacf
