Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
19-11-2020,17:48,DYNATRACE INC. COMMON STOCK,US2681501092,NSY,BATS,98,36.3400,USD,-3561.32,USD,-3007.87,EUR,1.1840,-0.33,EUR,-3008.20,EUR,b66da511-0c58-40b8-9fb4-c2f2bc09e601
19-11-2020,17:46,DYNATRACE INC. COMMON STOCK,US2681501092,NSY,BATS,100,36.3400,USD,-3634.00,USD,-3069.00,EUR,1.1841,-0.34,EUR,-3069.34,EUR,b66da511-0c58-40b8-9fb4-c2f2bc09e601
19-11-2020,17:46,DYNATRACE INC. COMMON STOCK,US2681501092,NSY,BATS,100,36.3400,USD,-3634.00,USD,-3069.00,EUR,1.1841,-0.34,EUR,-3069.34,EUR,b66da511-0c58-40b8-9fb4-c2f2bc09e601
19-11-2020,17:46,DYNATRACE INC. COMMON STOCK,US2681501092,NSY,BATS,2,36.3400,USD,-72.68,USD,-61.38,EUR,1.1841,-0.51,EUR,-61.89,EUR,b66da511-0c58-40b8-9fb4-c2f2bc09e601
19-11-2020,17:19,CHECK-CAP LTD. - ORDIN,IL0011336851,NDQ,CDED,4000,0.3002,USD,-1200.80,USD,-1014.28,EUR,1.1839,-14.03,EUR,-1028.31,EUR,944d1cb6-5378-4d9b-8590-8c9bfc8e0d47
10-11-2020,18:40,FRESHPET INC. - COMMO,US3580391056,NDQ,ARCX,30,119.1000,USD,-3573.00,USD,-3023.87,EUR,1.1816,-0.10,EUR,-3023.97,EUR,98c76991-5cb0-4a40-a187-146e4bf2676b
10-11-2020,18:39,FRESHPET INC. - COMMO,US3580391056,NDQ,ARCX,10,119.1000,USD,-1191.00,USD,-1007.87,EUR,1.1817,-0.03,EUR,-1007.90,EUR,98c76991-5cb0-4a40-a187-146e4bf2676b
10-11-2020,18:38,FRESHPET INC. - COMMO,US3580391056,NDQ,ARCX,10,119.1000,USD,-1191.00,USD,-1008.04,EUR,1.1815,-0.53,EUR,-1008.57,EUR,98c76991-5cb0-4a40-a187-146e4bf2676b
10-11-2020,18:34,ORGANIGRAM HOLDINGS INC. - COMMON SHARES,CA68620P1018,NDQ,CDED,500,1.2550,USD,-627.50,USD,-531.19,EUR,1.1813,-1.69,EUR,-532.88,EUR,8c57781d-a38e-4f12-931b-d05f4706c9dd
10-11-2020,18:34,ORGANIGRAM HOLDINGS INC. - COMMON SHARES,CA68620P1018,NDQ,CDED,100,1.2550,USD,-125.50,USD,-106.24,EUR,1.1813,-0.34,EUR,-106.58,EUR,8c57781d-a38e-4f12-931b-d05f4706c9dd
