Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
12-11-2018,09:00,ABENGOA SA- B SHARES,ES0105200002,MAD,XMAD,15000,0.0038,EUR,-57.00,EUR,-57.00,EUR,,-2.03,EUR,-59.03,EUR,aa735a76-a6de-441a-acf7-2c5318373298
11-10-2018,14:29,IPSEN,FR0010259150,EPA,XPAR,11,123.8000,EUR,-1361.80,EUR,-1361.80,EUR,,-0.79,EUR,-1362.59,EUR,dcf0e170-b5fa-467a-bd56-03e79e134b17
11-10-2018,14:29,IPSEN,FR0010259150,EPA,XPAR,2,123.8000,EUR,-247.60,EUR,-247.60,EUR,,-4.14,EUR,-251.74,EUR,dcf0e170-b5fa-467a-bd56-03e79e134b17
11-10-2018,11:15,IPSEN,FR0010259150,EPA,XPAR,-13,125.0500,EUR,1625.65,EUR,1625.65,EUR,,-4.94,EUR,1620.71,EUR,d4a5886a-3e56-487a-ba9d-1a047545f67d
18-09-2018,20:20,TESLA MOTORS INC. - C,US88160R1014,NDQ,XCIS,1,284.9700,USD,-284.97,USD,-244.22,EUR,1.1669,-0.50,EUR,-244.72,EUR,aaa5bfec-d6b2-40e4-bd2f-9abf1aa7a551
18-09-2018,19:11,TESLA MOTORS INC. - C,US88160R1014,NDQ,XCIS,3,282.8400,USD,-848.52,USD,-727.43,EUR,1.1665,-0.51,EUR,-727.94,EUR,ee827a70-7ff3-41e9-82ff-6d5af8dcebb3
13-09-2018,18:29,META PLATFORMS INC,US30303M1027,NDQ,XBOS,1,161.5500,USD,-161.55,USD,-138.38,EUR,1.1674,-0.50,EUR,-138.88,EUR,62ac14c8-d724-4dd0-83d4-1ea77ed3c283
13-09-2018,17:57,META PLATFORMS INC,US30303M1027,NDQ,XNAS,1,161.9700,USD,-161.97,USD,-138.76,EUR,1.1673,,EUR,-138.76,EUR,ad0c5b8d-4f95-4fd9-b8cd-0d3cb098aa24
13-09-2018,17:57,META PLATFORMS INC,US30303M1027,NDQ,XNAS,13,161.9700,USD,-2105.61,USD,-1803.88,EUR,1.1673,-0.54,EUR,-1804.42,EUR,ad0c5b8d-4f95-4fd9-b8cd-0d3cb098aa24
13-09-2018,15:36,TESLA MOTORS INC. - C,US88160R1014,NDQ,IEXG,-8,290.1600,USD,2321.28,USD,1985.40,EUR,1.1692,-0.53,EUR,1984.87,EUR,4aebac97-26a0-4ced-80c4-cd19fae68587
10-09-2018,15:51,TESLA MOTORS INC. - C,US88160R1014,NDQ,ARCX,8,272.4600,USD,-2179.68,USD,-1878.88,EUR,1.1601,-0.53,EUR,-1879.41,EUR,35eb832f-e386-458a-ac0c-9f5b171c308c
27-07-2018,20:21,ACCENTURE PLC. CLASS A,IE00B4BNMY34,NSY,XNAS,5,161.7000,USD,-808.50,USD,-693.45,EUR,1.1659,-0.52,EUR,-693.97,EUR,c2804dbd-ba39-4aa7-8796-d27e15f53765
27-07-2018,20:17,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,1,1251.0400,USD,-1251.04,USD,-1073.15,EUR,1.1658,-0.50,EUR,-1073.65,EUR,9d1d76b3-3cd4-44a5-9fa2-b41188f77c0b
27-07-2018,20:15,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,1,1252.9800,USD,-1252.98,USD,-1074.69,EUR,1.1659,-0.50,EUR,-1075.19,EUR,39fa042b-621a-43b3-abc1-f64552781db7
23-07-2018,15:30,TESLA MOTORS INC. - C,US88160R1014,NDQ,BATS,-11,300.8500,USD,3309.35,USD,2824.53,EUR,1.1716,-0.54,EUR,2823.99,EUR,4882dd62-49cb-45bb-8352-553d7dd7085a
18-07-2018,12:00,IPSEN,FR0010259150,EPA,XPAR,13,142.8500,EUR,-1857.05,EUR,-1857.05,EUR,,-4.74,EUR,-1861.79,EUR,b8778d32-e2ca-4de7-819f-e6a983bbe929
18-07-2018,09:08,SOLARIA,ES0165386014,MAD,XMAD,-267,5.7500,EUR,1535.25,EUR,1535.25,EUR,,-0.61,EUR,1534.64,EUR,ca455b64-cf26-4c91-a837-dbf9e1b1f326
18-07-2018,09:08,SOLARIA,ES0165386014,MAD,XMAD,-65,5.7500,EUR,373.75,EUR,373.75,EUR,,-2.15,EUR,371.60,EUR,ca455b64-cf26-4c91-a837-dbf9e1b1f326
16-07-2018,17:44,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,10,307.1200,USD,-3071.20,USD,-2623.43,EUR,1.1707,-0.03,EUR,-2623.46,EUR,6eb90d71-b19e-44f8-9ae2-ff8718c268a9
16-07-2018,17:44,TESLA MOTORS INC. - C,US88160R1014,NDQ,XNAS,1,307.1100,USD,-307.11,USD,-262.34,EUR,1.1707,-0.50,EUR,-262.84,EUR,6eb90d71-b19e-44f8-9ae2-ff8718c268a9
16-07-2018,17:09,SOLARIA,ES0165386014,MAD,XMAD,332,6.0400,EUR,-2005.28,EUR,-2005.28,EUR,,-2.80,EUR,-2008.08,EUR,16eabd82-cfde-4daf-a2b2-46e549ce4ee2
16-07-2018,15:40,TESLA MOTORS INC. - C,US88160R1014,NDQ,EDGX,-11,308.1200,USD,3389.32,USD,2895.16,EUR,1.1707,-0.54,EUR,2894.62,EUR,1cb89434-3591-4517-82b3-2effc2aecae9
