Fecha;Hora;Producto;ISIN;Ticker;Bolsa;Exchange Yahoo;Exchange Google;Cantidad;Precio;Precio Divisa;Valor Local;Valor Local Divisa;Valor;Valor Divisa;Tipo de cambio;Costes Transacción;Costes Transacción Divisa;Total;Total Divisa
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;85.0;57.53;USD;4890.05;USD;4890.05;USD;1.0;1.0;USD;4891.05;USD
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;10.0;57.53;USD;575.3;USD;575.3;USD;1.0;0.0;USD;575.3;USD
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;5.0;57.53;USD;287.65;USD;287.65;USD;1.0;0.0;USD;287.65;USD
04-10-2023;12:16;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;44.0;58.26;USD;2563.44;USD;2563.44;USD;1.0;1.02688752;USD;2564.46688752;USD
04-10-2023;12:16;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;56.0;58.26;USD;3262.56;USD;3262.56;USD;1.0;0.03422048;USD;3262.59422048;USD
19-10-2023;09:35;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;NASDAQ;;NASDAQ;50.0;55.77;USD;2788.5;USD;2788.5;USD;1.0;1.0;USD;2789.5;USD
