Fecha;Hora;Producto;ISIN;Ticker;Bolsa;Exchange Yahoo;Exchange Google;Cantidad;Precio;Precio Divisa;Valor Local;Valor Local Divisa;Valor;Valor Divisa;Tipo de cambio;Costes Transacción;Costes Transacción Divisa;Total;Total Divisa
1531180800000;17:37;ABENGOA SA- B SHARES;ES0105200002;ABGOF;MAD;.MC;OTCMKTS;100;0.01;EUR;-1.0;EUR;-1.0;EUR;;-2.0;EUR;-3.0;EUR
1531267200000;09:20;XIAOMI CORP-CLASS B;KYG9830T1067;1810;HKS;.HK;HKG;200;18.5;HKD;-3700.0;HKD;-401.82;EUR;9.2081;-10.2;EUR;-412.02;EUR
1531267200000;17:37;ABENGOA SA- B SHARES;ES0105200002;ABGOF;MAD;.MC;OTCMKTS;9900;0.01;EUR;-99.0;EUR;-99.0;EUR;;-2.04;EUR;-101.04;EUR
1531699200000;15:40;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;11;308.12;USD;3389.32;USD;2895.16;EUR;1.1707;-0.54;EUR;2894.62;EUR
1531699200000;17:09;SOLARIA;ES0165386014;;MAD;.MC;;332;6.04;EUR;-2005.28;EUR;-2005.28;EUR;;-2.8;EUR;-2008.08;EUR
1531699200000;17:44;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;1;307.11;USD;-307.11;USD;-262.34;EUR;1.1707;-0.5;EUR;-262.84;EUR
1531699200000;17:44;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;10;307.12;USD;-3071.2;USD;-2623.43;EUR;1.1707;-0.03;EUR;-2623.46;EUR
1531872000000;09:08;SOLARIA;ES0165386014;;MAD;.MC;;65;5.75;EUR;373.75;EUR;373.75;EUR;;-2.15;EUR;371.6;EUR
1531872000000;09:08;SOLARIA;ES0165386014;;MAD;.MC;;267;5.75;EUR;1535.25;EUR;1535.25;EUR;;-0.61;EUR;1534.64;EUR
1531872000000;12:00;IPSEN;FR0010259150;IPN;EPA;.PA;EPA;13;142.85;EUR;-1857.05;EUR;-1857.05;EUR;;-4.74;EUR;-1861.79;EUR
1532304000000;15:30;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;11;300.85;USD;3309.35;USD;2824.53;EUR;1.1716;-0.54;EUR;2823.99;EUR
1532649600000;20:15;ALPHABET INC. - CLASS A;US02079K3059;GOOGL;NDQ;;NASDAQ;1;1252.98;USD;-1252.98;USD;-1074.69;EUR;1.1659;-0.5;EUR;-1075.19;EUR
1532649600000;20:17;ALPHABET INC. - CLASS A;US02079K3059;GOOGL;NDQ;;NASDAQ;1;1251.04;USD;-1251.04;USD;-1073.15;EUR;1.1658;-0.5;EUR;-1073.65;EUR
1532649600000;20:21;ACCENTURE PLC. CLASS A;IE00B4BNMY34;ACN;NSY;;NYSE;5;161.7;USD;-808.5;USD;-693.45;EUR;1.1659;-0.52;EUR;-693.97;EUR
1536537600000;15:51;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;8;272.46;USD;-2179.68;USD;-1878.88;EUR;1.1601;-0.53;EUR;-1879.41;EUR
1536796800000;15:36;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;8;290.16;USD;2321.28;USD;1985.4;EUR;1.1692;-0.53;EUR;1984.87;EUR
1536796800000;17:57;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;13;161.97;USD;-2105.61;USD;-1803.88;EUR;1.1673;-0.54;EUR;-1804.42;EUR
1536796800000;17:57;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;1;161.97;USD;-161.97;USD;-138.76;EUR;1.1673;;EUR;-138.76;EUR
1536796800000;18:29;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;1;161.55;USD;-161.55;USD;-138.38;EUR;1.1674;-0.5;EUR;-138.88;EUR
1537228800000;19:11;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;3;282.84;USD;-848.52;USD;-727.43;EUR;1.1665;-0.51;EUR;-727.94;EUR
1537228800000;20:20;TESLA MOTORS INC. - C;US88160R1014;TSLA;NDQ;;NASDAQ;1;284.97;USD;-284.97;USD;-244.22;EUR;1.1669;-0.5;EUR;-244.72;EUR
1539216000000;11:15;IPSEN;FR0010259150;IPN;EPA;.PA;EPA;13;125.05;EUR;1625.65;EUR;1625.65;EUR;;-4.94;EUR;1620.71;EUR
1539216000000;14:29;IPSEN;FR0010259150;IPN;EPA;.PA;EPA;2;123.8;EUR;-247.6;EUR;-247.6;EUR;;-4.14;EUR;-251.74;EUR
1539216000000;14:29;IPSEN;FR0010259150;IPN;EPA;.PA;EPA;11;123.8;EUR;-1361.8;EUR;-1361.8;EUR;;-0.79;EUR;-1362.59;EUR
1541980800000;09:00;ABENGOA SA- B SHARES;ES0105200002;ABGOF;MAD;.MC;OTCMKTS;15000;0.0038;EUR;-57.0;EUR;-57.0;EUR;;-2.03;EUR;-59.03;EUR
